"-Ug1 [V]","Ia [mA]",#
2,0,1
1.5,0.15,1
1,0.5,1
0.5,1.2,1
0,2.2,1
2,0.05,2
1.5,0.3,2
1,0.9,2
0.5,1.7,2
0,2.9,2
2.5,0,3
2,0.18,3
1.5,0.5,3
1,1.2,3
0.5,2.2,3
0,3.4,3
2.5,0.08,4
2,0.3,4
1,1.7,4
0.5,2.8,4
0,4,4
3,0,5
2.5,0.15,5
2,0.5,5
1.5,1.2,5
1,2.2,5
0.5,3.4,5
0,4.5,5
3,0.08,6
2.5,0.28,6
2,0.8,6
1.5,1.7,6
1,2.7,6
0.5,4,6
0,5.1,6
3.5,0,7
3,0.18,7
2.5,0.55,7
2,1.22,7
1.5,2.2,7
1,3.3,7
0.5,4.6,7
0,5.8,7
4,0,8
3.5,0.1,8
3,0.3,8
2.5,0.9,8
2,1.7,8
1.5,2.7,8
1,3.9,8
0.5,5.1,8
4,0.08,9
3.5,0.25,9
3,0.6,9
2.5,1.3,9
2,2.3,9
1.5,3.3,9
1,4.5,9
4,0.18,10
3.5,0.43,10
3,0.9,10
2.5,1.7,10
2,2.8,10
1.5,3.9,10
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
