"Ua [V]","Ia [mA]",#
0,0,1
25,0.6,1
50,1.05,1
75,1.82,1
100,2.2,1
125,2.9,1
150,3.4,1
175,4,1
200,4.5,1
225,5.1,1
250,5.8,1
0,0,2
25,0.2,2
50,0.42,2
75,0.8,2
100,1.2,2
125,1.7,2
150,2.2,2
175,2.8,2
200,3.4,2
225,4,2
250,4.6,2
275,5.1,2
25,0,3
50,0.15,3
75,0.3,3
100,0.5,3
125,0.9,3
150,1.2,3
175,1.7,3
200,2.2,3
225,2.7,3
250,3.3,3
275,3.9,3
300,4.5,3
75,0,4
100,0.15,4
125,0.3,4
150,0.5,4
200,1.2,4
225,1.7,4
250,2.2,4
275,2.7,4
300,3.3,4
325,3.9,4
100,0,5
125,0.05,5
150,0.18,5
175,0.3,5
200,0.5,5
225,0.8,5
250,1.22,5
275,1.7,5
300,2.3,5
325,2.8,5
350,3.4,5
150,0,6
175,0.08,6
200,0.15,6
225,0.28,6
250,0.55,6
275,0.9,6
300,1.3,6
325,1.7,6
350,2.2,6
375,2.8,6
200,0,7
225,0.08,7
250,0.18,7
275,0.3,7
300,0.6,7
325,0.9,7
350,1.3,7
375,1.7,7
250,0,8
275,0.1,8
300,0.25,8
325,0.43,8
350,0.7,8
375,0.9,8
275,0,9
300,0.08,9
325,0.18,9
350,0.26,9
375,0.4,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
